64.8,0,4080
255.47,10792,34655
74.833,0,4460
56.733,0,3512
64.367,0,18184
65.533,0,4899
559.17,31509,53346
409.3,22268,45733
68.767,0,3474
57.533,0,8280
75.533,0,6152
66.367,0,3614
125.53,1025,25491
284.6,13952,39194
68.867,0,3848
63.833,0,8624
64.867,0,10377
51.133,0,3174
69.767,0,7024
297.2,14723,39437
67.4,0,4242
285.67,13504,39028
60.133,0,3095
64.433,0,3980
123.97,550,22375
57.967,0,13093
267.9,11439,35930
785.3,42970,63372
68.367,0,6759
61.033,0,3367
77.733,0,5084
71.567,0,3801
65.967,0,3830
68.533,0,3624
234.1,9598,36030
61.8,0,3380
58.833,0,7374
228.43,10272,36668
85.767,0,20033
49.767,0,2787
69.767,0,3897
64.1,0,15853
72.133,0,4225
68.3,0,6114
65.467,0,3431
71.467,0,4403
83.733,0,4315
61.933,0,3572
76.6,0,16508
242.83,9120,32805
70.233,0,4194
63.467,0,3575
73.333,0,16731
69.567,0,4961
93.767,24,15722
82.467,0,8291
61.9,0,9507
63.567,0,3791
65.733,0,6667
66.167,0,4105
80.833,0,18362
79.1,0,10077
71.133,0,4468
191.7,5832,32005
61.1,0,12252
78.367,0,6148
69.7,0,3930
65.6,0,4210
66.2,0,17181
109.07,51,23586
120.3,366,24888
56.1,0,3982
258.2,11408,35560
77.033,0,3817
70.767,0,3706
66.433,0,3339
69.2,0,17295
366.67,20414,44461
77.767,0,4364
69.933,0,6832
581.07,33079,55440
72.433,0,12232
646.4,37075,58332
123.8,568,23239
86.833,0,11088
69.333,0,5305
70.6,0,13508
61.3,0,4205
109.93,130,23277
547.1,31273,53610
67.333,0,3906
311.37,15350,38311
62.8,0,5949
296.53,14191,38436
62,0,3770
68.933,0,3803
72,0,6998
75.333,0,5792
79.733,0,4464
53.7,0,5833
