IC_prev_avg_max,IC_prev_avg_max_bio,IC_ex_max,IC_ex_max_bio
47.9833333333333,38.4833333333333,0.0,0.0
49.9166666666667,39.4166666666667,0.0,0.0
50.2333333333333,40.8,0.0,0.0
50.8333333333333,41.2166666666667,0.0,0.0
51.1666666666667,41.9833333333333,0.0,0.0
51.7166666666667,42.6666666666667,0.0,0.0
52.05,42.9833333333333,0.0,0.0
52.4833333333333,43.0,0.0,0.0
52.6666666666667,43.2833333333333,0.0,0.0
52.9833333333333,43.7666666666667,0.0,0.0
53.45,44.0,0.0,0.0
53.5166666666667,44.1166666666667,0.0,0.0
53.5833333333333,44.3166666666667,0.0,0.0
53.6333333333333,44.6666666666667,0.0,0.0
53.7333333333333,44.8666666666667,0.0,0.0
53.7333333333333,45.0,0.0,0.0
53.7833333333333,45.0,0.0,0.0
54.25,45.0833333333333,0.0,0.0
54.35,45.3166666666667,0.0,0.0
54.4,45.4333333333333,0.0,0.0
54.5166666666667,46.1666666666667,0.0,0.0
54.75,46.2166666666667,0.0,0.0
54.7666666666667,46.2333333333333,0.0,0.0
54.8333333333333,46.6833333333333,0.0,0.0
54.9333333333333,46.7833333333333,0.0,0.0
55.3,46.8833333333333,0.0,0.0
55.5333333333333,47.3666666666667,0.0,0.0
55.55,47.3833333333333,0.0,0.0
55.5666666666667,47.4666666666667,0.0,0.0
56.15,47.6,0.0,0.0
56.2333333333333,47.8166666666667,0.0,0.0
56.4,47.9333333333333,0.0,0.0
56.5166666666667,48.1833333333333,0.0,0.0
56.5833333333333,48.2833333333333,0.0,0.0
56.75,48.3333333333333,0.0,0.0
56.8833333333333,48.4166666666667,0.0,0.0
57.0166666666667,48.6666666666667,0.0,0.0
57.15,48.6833333333333,0.0,0.0
57.4,48.7,0.0,0.0
57.4166666666667,48.9,0.0,0.0
57.4666666666667,49.0166666666667,0.0,0.0
57.4833333333333,49.0166666666667,0.0,0.0
57.6166666666667,49.0666666666667,0.0,0.0
57.6833333333333,49.4666666666667,0.0,0.0
57.8166666666667,49.8,0.0,0.0
57.8666666666667,49.95,0.0,0.0
57.8833333333333,50.0666666666667,0.0,0.0
57.8833333333333,50.1333333333333,0.0,0.0
57.9,50.1333333333333,0.0,0.0
58.0166666666667,50.2166666666667,0.0,0.0
58.05,50.4833333333333,0.0,0.0
58.0833333333333,50.7166666666667,0.0,0.0
58.3833333333333,51.05,0.0,0.0
58.5166666666667,51.3166666666667,0.0,0.0
58.5333333333333,51.3166666666667,0.0,0.0
58.5333333333333,51.5166666666667,0.0,0.0
58.8666666666667,51.5166666666667,0.0,0.0
58.9333333333333,51.6166666666667,0.0,0.0
58.95,51.6333333333333,0.0,0.0
59.1166666666667,52.3666666666667,0.0,0.0
59.1833333333333,52.4333333333333,0.0,0.0
59.3666666666667,52.4833333333333,0.0,0.0
59.3833333333333,52.5666666666667,0.0,0.0
59.5,52.5833333333333,0.0,0.0
59.5166666666667,52.7166666666667,0.0,0.0
59.5166666666667,52.7833333333333,0.0,0.0
59.55,52.9166666666667,0.0,0.0
59.7,53.1166666666667,0.0,0.0
59.7833333333333,53.15,0.0,0.0
59.9,53.1833333333333,0.0,0.0
59.9333333333333,53.2166666666667,0.0,0.0
59.9333333333333,53.25,0.0,0.0
59.9333333333333,53.2666666666667,0.0,0.0
60.0,53.3833333333333,0.0,0.0
60.0333333333333,53.65,0.0,0.0
60.05,53.65,0.0,0.0
60.1,53.9166666666667,0.0,0.0
60.1,54.1666666666667,0.0,0.0
60.1333333333333,54.1666666666667,0.0,0.0
60.2666666666667,54.2833333333333,0.0,0.0
60.2833333333333,54.3333333333333,0.0,0.0
60.2833333333333,54.4,0.0,0.0
60.3,54.7833333333333,0.0,0.0
60.4,54.9166666666667,0.0,0.0
60.4333333333333,55.0333333333333,0.0,0.0
60.4333333333333,55.15,0.0,0.0
60.4666666666667,55.25,0.0,0.0
60.4666666666667,55.4,0.0,0.0
60.5333333333333,55.45,0.0,0.0
60.5333333333333,55.7,0.0,0.0
60.5833333333333,55.7166666666667,0.0,0.0
60.65,55.7833333333333,0.0,0.0
60.6833333333333,56.0166666666667,0.0,0.0
60.9333333333333,56.0666666666667,0.0,0.0
61.05,56.0833333333333,0.0,0.0
61.0833333333333,56.1,0.0,0.0
61.0833333333333,56.1333333333333,0.0,0.0
61.1166666666666,56.2,0.0,0.0
61.1166666666667,56.2166666666667,0.0,0.0
61.1833333333333,56.3,0.0,0.0
61.2333333333333,56.3,0.0,0.0
61.2666666666667,56.3166666666667,0.0,0.0
61.2666666666667,56.4166666666667,0.0,0.0
61.2833333333333,56.6333333333333,0.0,0.0
61.3166666666666,56.6666666666667,0.0,0.0
61.3333333333333,56.7,0.0,0.0
61.4166666666667,56.7333333333333,0.0,0.0
61.4666666666667,56.7833333333333,0.0,0.0
61.6333333333333,56.9,0.0,0.0
61.65,56.9,0.0,0.0
61.6833333333333,57.0,0.0,0.0
61.6833333333333,57.1,0.0,0.0
61.7,57.1833333333333,0.0,0.0
61.7,57.25,0.0,0.0
61.75,57.4333333333333,0.0,0.0
61.7666666666667,57.5833333333333,0.0,0.0
61.8666666666666,57.6,0.0,0.0
61.9333333333333,57.7666666666667,0.0,0.0
62.0,57.95,0.0,0.0
62.0333333333333,57.9666666666667,0.0,0.0
62.05,58.0,0.0,0.0
62.0666666666667,58.05,0.0,0.0
62.1,58.2666666666667,0.0,0.0
62.1,58.4,0.0,0.0
62.1333333333333,58.4,0.0,0.0
62.1666666666667,58.45,0.0,0.0
62.2,58.4833333333333,0.0,0.0
