12.467,0,1102
0.86667,0,38
0.16667,0,5
387.07,21658,42343
595.47,34219,54693
112.88,135,6690
358.63,20214,43258
397.83,21026,40246
1,0,32
0.16667,0,5
283.06,4640,14409
9.0667,0,938
8.1,0,1083
165.17,3814,22194
0.9,0,73
0.36667,0,11
5.2105,0,507
0,0,0
584.63,29777,44234
1,0,84
0.53333,0,16
0,0,0
0,0,0
0.66667,0,26
265.4,12466,31705
99.1,2,10951
373.6,19489,38165
17.233,0,1193
316.03,16263,35693
0,0,0
88.5,0,5656
279.33,13402,33113
13.867,0,970
666.6,38575,58482
0.23333,0,7
15.8,0,1281
1.2667,0,58
425.87,24986,45482
18.067,0,1623
42.312,0,3600
0.43333,0,13
16.433,0,1835
607.9,34740,53366
212.56,4332,17005
2.0667,0,153
4.0625,0,266
5.2333,0,459
270.69,7165,18903
22.767,0,1211
1,0,117
0.43333,0,13
459.7,28111,50343
3.4333,0,846
7.7667,0,1280
0.26667,0,16
12,0,1717
0,0,0
12.467,0,1044
0.8,0,43
14.633,0,1325
0,0,0
6.7,0,824
0,0,0
0.090909,0,2
23.467,0,1287
1,0,38
3.2,0,493
16.733,0,1529
1.8667,0,109
2.1667,0,363
0.3,0,15
10.833,0,1185
0,0,0
163.56,2604,15384
0,0,0
838,48353,67880
16.067,0,2095
1,0,30
0.13333,0,4
0.7,0,57
1,0,143
3.4333,0,606
0,0,0
0.66667,0,20
0.7,0,22
1,0,34
13,0,1244
0.73333,0,56
667.4,38092,58246
0,0,0
4.5333,0,720
1.8667,0,299
1,0,31
749.53,41322,61487
0,0,0
550,32172,53803
5.9333,0,946
15.733,0,1269
23.367,0,1365
12.533,0,1394
